Protein ID,Compartment
P23780,Lysosome
P06797,Lysosome
P17047,Lysosome
Q7TMR0,Lysosome
O35604,Lysosome
O88531,Lysosome
P29416,Lysosome
Q9JHS3,Lysosome
A0A0R4J138,Lysosome
Q9QWR8,Lysosome
Q9JHU4,Large Protein Complex
P10126,Large Protein Complex
P58252,Large Protein Complex
P05213,Large Protein Complex
Q9D0E1,Large Protein Complex
P62806,Large Protein Complex
Q68FD5,Large Protein Complex
O35737,Large Protein Complex
B2M1R6,Large Protein Complex
P23116,Large Protein Complex
Q5EBP8,Large Protein Complex
Q6ZQ08,Large Protein Complex
G5E924,Large Protein Complex
O88569,Large Protein Complex
Q8VEK3,Large Protein Complex
Q8CGC7,Large Protein Complex
P60843,Large Protein Complex
G5E866,Large Protein Complex
P42932,Large Protein Complex
P80318,Large Protein Complex
P62908,Large Protein Complex
P27659,Large Protein Complex
Q9CW03,Large Protein Complex
Q9CX86,Large Protein Complex
Q8BG05,Large Protein Complex
Q8VHM5,Large Protein Complex
Q9CU62,Large Protein Complex
Q8CG48,Large Protein Complex
P97351,Large Protein Complex
P80316,Large Protein Complex
Q921M3,Large Protein Complex
P11983,Large Protein Complex
P47962,Large Protein Complex
Q8BU30,Large Protein Complex
P80314,Large Protein Complex
Q6NZJ6,Large Protein Complex
P62259,Large Protein Complex
Q8K4Z5,Large Protein Complex
A0A0N4SVL0,Large Protein Complex
G3XA17,Large Protein Complex
Q3UJB0,Large Protein Complex
Q9Z204,Large Protein Complex
Q8CG47,Large Protein Complex
Q8CIE6,Large Protein Complex
P80315,Large Protein Complex
Q60668,Large Protein Complex
Q8R1B4,Large Protein Complex
Q9CPR4,Large Protein Complex
Q9D8E6,Large Protein Complex
P14869,Large Protein Complex
P63101,Large Protein Complex
P80313,Large Protein Complex
Q8JZQ9,Large Protein Complex
Q922B2,Large Protein Complex
P25444,Large Protein Complex
A0A0R4J1E2,Large Protein Complex
Q80UG5,Large Protein Complex
Q76MZ3,Large Protein Complex
Q9D8N0,Large Protein Complex
Q8BMJ2,Large Protein Complex
E9Q1G8,Large Protein Complex
Q6PDM2,Large Protein Complex
O55029,Large Protein Complex
Q8VDM4,Large Protein Complex
Q91VC3,Large Protein Complex
Q3TXS7,Large Protein Complex
Q9JIF7,Large Protein Complex
Q5XJF6,Large Protein Complex
Q8QZY1,Large Protein Complex
Q99MN1,Large Protein Complex
P47911,Large Protein Complex
Q8C1B7,Large Protein Complex
Q8BGD9,Large Protein Complex
G3X972,Large Protein Complex
Q3TPJ8,Large Protein Complex
Q8BJW6,Large Protein Complex
Q00PI9,Large Protein Complex
P80317,Large Protein Complex
Q9D0I9,Large Protein Complex
Q921F4,Large Protein Complex
P12970,Large Protein Complex
P14148,Large Protein Complex
P15864,Large Protein Complex
Q9Z2X1,Large Protein Complex
O70194,Large Protein Complex
P62196,Large Protein Complex
Q01405,Large Protein Complex
P60229,Large Protein Complex
P51410,Large Protein Complex
E9QB02,Large Protein Complex
P62242,Large Protein Complex
P46471,Large Protein Complex
P35979,Large Protein Complex
Q9D554,Large Protein Complex
Q9QZD9,Large Protein Complex
Q8BG32,Large Protein Complex
P61982,Large Protein Complex
Q91YT7,Large Protein Complex
P42208,Large Protein Complex
Q3UPL0,Large Protein Complex
P14685,Large Protein Complex
Q8BYK6,Large Protein Complex
O35382,Large Protein Complex
Q6ZWN5,Large Protein Complex
Q8CI94,Large Protein Complex
Q8R1Q8,Large Protein Complex
P62843,Large Protein Complex
P62830,Large Protein Complex
Q5XJY5,Large Protein Complex
Q6ZWZ6,Large Protein Complex
Q9CQR2,Large Protein Complex
P99027,Large Protein Complex
Q99020,Large Protein Complex
Q8VDM6,Large Protein Complex
P62754,Large Protein Complex
P61514,Large Protein Complex
Q91WK2,Large Protein Complex
O55142,Large Protein Complex
P62270,Large Protein Complex
P62717,Large Protein Complex
P62334,Large Protein Complex
P62192,Large Protein Complex
P62918,Large Protein Complex
P14131,Large Protein Complex
P31230,Large Protein Complex
P62751,Large Protein Complex
P68372,Large Protein Complex
Q9DCH4,Large Protein Complex
Q9R1P4,Large Protein Complex
Q9Z1D1,Large Protein Complex
O35250,Large Protein Complex
Q99JI4,Large Protein Complex
Q8K0V4,Large Protein Complex
P68254,Large Protein Complex
Q8BH15,Large Protein Complex
Q9WVJ2,Large Protein Complex
Q9CR57,Large Protein Complex
Q8R3S6,Large Protein Complex
Q99JX4,Large Protein Complex
P62281,Large Protein Complex
P62715,Large Protein Complex
P54775,Large Protein Complex
P47963,Large Protein Complex
P61358,Large Protein Complex
Q9R0Q6,Large Protein Complex
P43276,Large Protein Complex
P62264,Large Protein Complex
P62889,Large Protein Complex
O88544,Large Protein Complex
Q9QZE5,Large Protein Complex
Q60737,Large Protein Complex
Q9QXK3,Large Protein Complex
P63276,Large Protein Complex
Q9D8W5,Large Protein Complex
Q9Z2U0,Large Protein Complex
O89079,Large Protein Complex
Q62093,Large Protein Complex
Q8C5L3,Large Protein Complex
Q3TPX4,Large Protein Complex
Q80ZX0,Large Protein Complex
P84104,Large Protein Complex
Q9QUM9,Large Protein Complex
P62082,Large Protein Complex
P62858,Large Protein Complex
A6H5Z3,Large Protein Complex
O35226,Large Protein Complex
P56960,Large Protein Complex
Q9CZM2,Large Protein Complex
Q9CZX8,Large Protein Complex
Q9D662,Large Protein Complex
P35585,Large Protein Complex
Q8BP67,Large Protein Complex
P68510,Large Protein Complex
Q6PGF7,Large Protein Complex
D3Z3N4,Large Protein Complex
P22892,Large Protein Complex
P35980,Large Protein Complex
P62849,Large Protein Complex
Q9Z2U1,Large Protein Complex
Q542V3,Large Protein Complex
Q9CXW4,Large Protein Complex
O70435,Large Protein Complex
O55234,Large Protein Complex
P62911,Large Protein Complex
O35643,Large Protein Complex
D3YTQ3,Large Protein Complex
Q3UIX4,Large Protein Complex
Q6PDL0,Large Protein Complex
Q9CVB6,Large Protein Complex
Q9D4H1,Large Protein Complex
Q91V55,Large Protein Complex
P62267,Large Protein Complex
Q9D1M0,Large Protein Complex
Q9R1P0,Large Protein Complex
P61202,Large Protein Complex
P84099,Large Protein Complex
P41105,Large Protein Complex
O09167,Large Protein Complex
P60867,Large Protein Complex
O35864,Large Protein Complex
B1AWE0,Large Protein Complex
Q9DBZ5,Large Protein Complex
Q9WUK2,Large Protein Complex
O09061,Large Protein Complex
P63073,Large Protein Complex
P70333,Large Protein Complex
P62855,Large Protein Complex
Q60809,Large Protein Complex
Q6KAR6,Large Protein Complex
O54833,Large Protein Complex
Q8BL97,Large Protein Complex
P62301,Large Protein Complex
P62900,Large Protein Complex
P59326,Large Protein Complex
Q8BG30,Large Protein Complex
G3UVU2,Large Protein Complex
B1AUN2,Large Protein Complex
Q7TNP2,Large Protein Complex
P67871,Large Protein Complex
Q9CX56,Large Protein Complex
Q9D0B0,Large Protein Complex
Q9CQV8,Large Protein Complex
Q91V89,Large Protein Complex
Q9R1P1,Large Protein Complex
O88543,Large Protein Complex
Q6ZWZ4,Large Protein Complex
Q9R1T4,Large Protein Complex
F8VQF9,Large Protein Complex
P10630,Large Protein Complex
P14115,Large Protein Complex
Q9EST3,Large Protein Complex
O88545,Large Protein Complex
P62852,Large Protein Complex
Q60692,Large Protein Complex
Q9WUK4,Large Protein Complex
O35593,Large Protein Complex
Q8R010,Large Protein Complex
P49722,Large Protein Complex
Q3U0M1,Large Protein Complex
E9PWG2,Large Protein Complex
Q03958,Large Protein Complex
Q3TWW8,Large Protein Complex
O35326,Large Protein Complex
O70591,Large Protein Complex
P59708,Large Protein Complex
Q8R323,Large Protein Complex
Q9CWN7,Large Protein Complex
P19426,Large Protein Complex
Q9D0F6,Large Protein Complex
Q923D4,Large Protein Complex
B2RXC1,Large Protein Complex
Q9JM76,Large Protein Complex
P59999,Large Protein Complex
Q99LD9,Large Protein Complex
A2AUM0,Large Protein Complex
Q8BMB3,Large Protein Complex
A0A0X1KG62,Large Protein Complex
P43274,Large Protein Complex
Q99J62,Large Protein Complex
Q8CHW4,Large Protein Complex
Q99LC8,Large Protein Complex
Q3U2P1,Large Protein Complex
Q9CPW4,Large Protein Complex
P47915,Large Protein Complex
Q6IRU5,Large Protein Complex
Q9D898,Large Protein Complex
Q922L6,Large Protein Complex
Q8CHH9,Large Protein Complex
Q9CWM4,Large Protein Complex
O55013,Large Protein Complex
Q9ES56,Large Protein Complex
Q6ZWY3,Large Protein Complex
P61924,Large Protein Complex
Q9WU28,Large Protein Complex
Q6ZWV7,Large Protein Complex
Q8QZY9,Large Protein Complex
